Player Name,Date,Pitch ID,Pitch Type,Speed,Spin,Spin Efficiency (release),Spin Axis,VB (trajectory),HB (trajectory),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Release Extension (ft),x0,y0,z0,Vx0 (f/s),Vy0 (f/s),Vz0 (f/s),ax0 (ft/s^2),ay0 (ft/s^2),az0 (ft/s^2),Serial Number,Note,Environment,Mode,Video Url,Unique ID,Device Serial Number,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type
wake kouki,Sun Jun 21 2026 1:37:21 AM,1782005841,Fastball,112.66,1791.13,93.45,2:18,18.2,37.6,-3.76,2.94,1.13,0.92,20.85,1.865839,-0.86,15.67,1.17,1.97,-31.08,1.33,-2.89,3.77,-9.34,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/3db0e258-af3c-43ae-951f-13dbb00fbf4c.mp4,1581241@1782005841,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:37:41 AM,1782005861,Fastball,114.13,1747.51,89.59,2:10,20.5,33.2,-5.48,2.31,1.07,0.88,26.38,1.8143559,-0.79,15.67,1.1,2.94,-31.33,0.98,-2.89,6.58,-9.69,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/833de4f0-268f-4e7c-9013-d6014b8b838d.mp4,1581241@1782005861,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:37:59 AM,1782005879,Fastball,113.22,1779.78,94.74,1:56,29.2,32.3,-5.12,3.27,1.14,0.91,18.67,1.6090794,-0.81,15.67,1.21,2.71,-31.18,1.48,-2.49,2.67,-8.34,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/77687804-d442-4de4-af52-b6a7a60a21b9.mp4,1581241@1782005879,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:38:11 AM,1782005891,Fastball,117.04,1834.92,87.16,1:42,31.1,20,-4.63,3.17,1.15,0.86,29.36,1.7141647,-0.77,15.67,1.21,2.55,-32.08,1.55,-2.03,8.33,-7.49,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/47a5b24f-3125-464e-8bfa-10ad7cefecac.mp4,1581241@1782005891,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:38:43 AM,1782005923,Quick Fastball,110.06,1696.32,93.14,2:16,18.5,30.2,-3.83,1.94,1.11,0.86,21.35,2.0470028,-0.81,15.67,1.13,1.98,-30.37,0.83,-2.35,5.07,-8.57,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/3b247db7-6d7f-4c40-b1e2-8a1fe86151a0.mp4,1581241@1782005923,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:39:07 AM,1782005947,Quick Fastball,113.28,1769.41,85.58,1:36,30.4,23.9,-4.65,2.84,1.07,0.83,31.15,0,-0.8,15.67,1.09,2.52,-31.23,1.41,-2.33,7.99,-11.98,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/58626eef-4be8-4f45-9117-4480b7f0b415.mp4,1581241@1782005947,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:39:28 AM,1782005968,Quick Fastball,112.93,1767.96,86.71,1:44,28.3,19.9,-4.46,3.33,1.08,0.82,29.87,0,-0.78,15.67,1.1,2.41,-31.16,1.63,-1.82,4.28,-12.66,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/e9ad29ac-63cb-41f3-ae75-6b822f182533.mp4,1581241@1782005968,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:39:56 AM,1782005996,Slider,100.01,2182.98,34.1,9:06,2,-31.4,-1.48,5.43,0.97,0.98,70.07,1.7059536,-0.95,15.67,1.07,0.77,-27.49,2.24,1.55,3.93,-10.24,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/4a4151ed-cb3f-4c23-8278-178b118bd8dc.mp4,1581241@1782005996,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:40:17 AM,1782006017,Slider,98.71,2264.03,47.13,9:02,1.4,-44.5,-1.22,5.7,0.97,0.9,61.88,1.7961941,-0.88,15.67,1.06,0.66,-27.1,2.35,2.13,4.93,-10.52,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/81fb6536-24e5-4f11-b04e-500331f577b6.mp4,1581241@1782006017,RCE20ZDCO26R,-,-,untitled,-
wake kouki,Sun Jun 21 2026 1:41:03 AM,1782006063,TwoSeamFastball,111.16,1617.43,94.07,1:52,26.6,45.1,-3.1,3.92,1.1,0.91,19.84,0,-0.84,15.67,1.19,1.53,-30.54,1.7,-3.08,4.73,-8.94,RCE20ZDCO26R,,-,GP,https://cloud.rapsodo.com/v2/shotVideo/1f82c403-e872-456c-90f1-debb6563d290.mp4,1581241@1782006063,RCE20ZDCO26R,-,-,untitled,-
